feature,importance
num__fnlwgt,0.17104852049404176
num__age,0.1534572526582356
num__capital-gain,0.09626017156291983
num__hours-per-week,0.08665266940648221
cat__marital-status_Married-civ-spouse,0.06310976836498185
num__education-num,0.0608542087224011
cat__relationship_Husband,0.04688373255988862
num__capital-loss,0.033282803061870196
cat__marital-status_Never-married,0.026000828772699096
cat__occupation_Exec-managerial,0.01884020278585784
cat__education_Bachelors,0.01159952862046899
cat__workclass_Private,0.01017907352474901
cat__relationship_Not-in-family,0.00978992974476879
cat__occupation_Prof-specialty,0.009486383251445817
cat__relationship_Wife,0.009354299470520779
cat__sex_Female,0.008654799553429852
cat__education_Masters,0.008226692309195116
cat__sex_Male,0.008158822104666936
cat__workclass_Self-emp-not-inc,0.007743172479535924
cat__education_HS-grad,0.007651508381008133
